content,replies,retweets,favorites,published_date
"Why the #UTTower will be aglow tonight (3/29).
#UTAustin #Longhornshttps://twitter.com/UTAustin/status/1111765347139497986Â â€_",0,0,0,3/29/2019 16:13
"In about 15 minutes Iâ€™m trying to catch this talk at #utaustin 
â€œWho Gets to Be Indigenous?: Black Indigeneity, Indigenous Erasure, and Black-Indigenous Relations on Turtle Islandâ€ù with prof. Kyle Mays hosted my Native American Indigenous Studies pic.twitter.com/zJMWm7IjG6",0,0,0,3/28/2019 13:15
"Always have fun in Austin.
So much going on!! Loved seeing the last two days of #SXSW and touring #utaustin #HookEm #longhorns #ATXpic.twitter.com/Di4Ph0ZZNy",0,0,1,3/26/2019 21:06
I am definitely intrigued by the rumblings of UT students against the residential mafia in West Campus #UTAustin,0,0,0,3/28/2019 2:15
"Paleo-Bevo was feeling a little frisky after watching the #Longhorns game, and wanted to get in on the canine chasing action... #HookEm 

#bison #direwolf #texasfossils #winningwednesday #paleo #pleistocene #sugarbowl #bevo #famouschasescenes #utaustin #atxpic.twitter.com/da8yS7R9hF",0,0,2,1/2/2019 15:14
"We love working with @UTAustin Longhorns! Our #1 rep this week is student John Squires with $9,905 in personal sales! #HookEm #UTAustin

#Top20 #PartTimeWork GIF theme #flowerspic.twitter.com/3MHfVt6F0W",0,0,0,4/2/2019 5:51
Here is a player who can inspire us all. #UTBeck connects and inspires through sign language Video - via @ESPN App #Longhorns #UTAustin #SugarBowl #Texas https://es.pn/2TlPvqR,0,0,0,1/1/2019 10:50
Thanks to Fox 7â€™s Good Day Austin for inviting me to talk about UTâ€™s upcoming Black Studies conference! #Fox7Austin #GoodDayAustin #blackstudiesut #UTAustin pic.twitter.com/T4nc4IwA7b â€“ at Fox7 News Station,1,5,27,3/5/2019 7:07
"Apply to be a Dean of Students Ambassador by April 9! Student Activities is hiring Dean of Students Ambassadors. Ambassadors will be part of the Deanâ€™s Squad, a student outreach and promotion team. Apply to join the Dean's Squad at http://hirealonghorn.orgÂ  #Squad #UTAustin pic.twitter.com/BNyJov98aW",0,2,3,4/2/2019 9:07
"And thereâ€™s actually something a little bit like this speed control already going on with rental #scooters on the #UTAustin campus: https://www.statesman.com/news/20190325/scooters-in-parts-of-ut-to-have-reduced-speeds-officials-sayÂ â€_
#tech",0,0,0,3/27/2019 19:35
"We are on our way to exploring ALL the possibilities of higher learning.  #ROADTRIP #THERIDGESQUAD 
 #UTAustin #WRE5thgrade and their mentors @DeidreHannible @wrefama @DesotoISDa2e2 @DeSotoISDAdvAcapic.twitter.com/ijZNidANzw",0,7,31,3/2/2019 5:18
"So we have Austin TX, a ton of $$$ and Matthew McConaughey.  Can we finally get a championship next year??? #UTAustin pic.twitter.com/LWcre2s2AT",1,0,1,1/1/2019 20:50
Create categories that map your business to benefits. Finding cheaper manufactures helps reduce costs. Streamlining cloud storage improves process increases profits. #startup #Startups #Entrepreneur #austin #atx #texas #utaustin #Entrepreneurship @gordondaugherty #TX #SanAntoniopic.twitter.com/gLaJNNQ2xB â€“ at Capital Factory,0,1,0,3/26/2019 9:10
Black Student-Athlete Summit 2019 has officially started!!! Check out the live feed at the following link: http://diversity.utexas.edu/blackstudentathletesummit/Â â€_ #BlackStudentAthleteSummit #bsas2019 #UTAustin #professionaldevelopment #StudentAthletepic.twitter.com/nzq2iL0DRo,2,45,81,1/9/2019 6:29
Great thread about the importance of supporting student journalism. Any #texas or #utaustin folks following me? Consider a donation to @txstudentmediahttps://twitter.com/meganmenchaca13/status/1112709159315738624Â â€_,0,0,2,4/1/2019 6:43
"Brian, I echo that thought about #UTAustin; even dunderheaded me got *something* out of it despite a lot of missteps, and it was a lot cheaper than making the same mistakes elsewhere, which I might in that case still be paying off.",1,0,1,3/27/2019 12:11
"Tomorrow is the deadline to apply for the Burnt Orange Leadership Development fellowship, learn more and apply: http://bit.ly/2Tii4pGÂ  
#BOLDUT #UTAustin pic.twitter.com/p40RoXtuqO",0,0,0,3/31/2019 9:24
"Austin!  Whatâ€™s up? Weâ€™ll be playing our first show ever in Austin at @utaustin for Round Up! 

See you guys this Saturday 
.
.
.
.
.
#Austin #UT #UTAustinâ€_ https://www.instagram.com/flightbynothing/p/BvhwGZZFpET/?utm_source=ig_twitter_share&igshid=h3masnxj7d54Â â€_",0,3,8,3/27/2019 14:47
From @CockrellSchool dean to #UTAustin president  #2009v2019https://twitter.com/gregfenves/status/1085906746093187072Â â€_,2,9,167,1/17/2019 9:09
"The Gaudet Lab at UT-Austin is hiring! Do you know an engaged, intelligent researcher looking for a technician position? Austin is a great place to work and live. 
#sciencejobs #neurosciencejobs #utaustin @UTPsychology @DellMedSchool https://utaustin.wd1.myworkdayjobs.com/en-US/UTstaff/job/UT-MAIN-CAMPUS/Research-Technician---Neuroscience-Biology_R_00000980Â â€_",0,3,5,1/3/2019 15:21
"UPDATE: The Rotoscope workshop application deadline has been extended to Friday, April 5. Students, don't let this opportunity pass you by!

https://buff.ly/2VYugfVÂ 
#landmarksUT #UTAustin #animation 
 Still from ""Snack and Drink"" by Bob Sabistonpic.twitter.com/UOXyThfgUU",0,2,2,3/27/2019 14:30
"""We're BACK!"" #LonghornNation #SamEhlinger You da Man! #SugarBowlChampions #HookingEm #UTAustin https://twitter.com/espn/status/1080338729615671296Â â€_",0,1,1,1/2/2019 0:19
@UTAustin and @gregfenves finally come forward to students about the admissions scandals issues that entangled UT Austinâ€™s menâ€™s tennis coach but absolutely bury it in an email about the tragic death of a student.#austin #utaustin #collegeadmissionsscandal #collegecheatingscandalpic.twitter.com/GP5V68Qiiz,3,0,1,3/28/2019 19:21
"Me, a Latina woman, engineer, unbothered about UTâ€™s admission scandal since I was legitimately admitted because I actually worked for it & didnâ€™t bribe anyone to let me in. Hook â€˜Em
#UTAustin #collegeadmissionsscandalpic.twitter.com/giFcns0f35",1,2,38,3/12/2019 19:56
"Excellent podcast on physician wellness, produced by a @bcmhouston student featuring a fellow @PlanIIHonors + Baylor alum @drmlb. 

https://open.spotify.com/episode/5iXa7VEKBZ4w0AJrE1r3ijÂ â€_

#baylorcollegeofmedicine #UTAustin #PlanII #physicianburnout #selfcare",0,1,4,3/25/2019 14:55
"""Would any of the expansions be worth it? Itâ€™s not clear, the #UTAustin team says."" https://twitter.com/statesman/status/1111786388251463680Â â€_",0,0,0,3/30/2019 9:57
"I have an extra copy of RESISTING OCCUPATION IN KASHMIR (ed. Duchinski, et al).  I will leave it outside my office in Parlin Hall at #UTAustin for anyone who might want it.",0,0,0,4/1/2019 12:24
See how weâ€™re supporting cocoa-growing communities and join the effort. #ShesInBusinesspic.twitter.com/XkzOvXm3Qd,0,3,25,4/1/2019 7:00
"#BreakingNews: â€œThe U.S. Department of Education is looking into whether the schools violated any laws or rules, including those governing federal student financial aid programs.â€ù
#UTAustin #Longhorns #HigherEd #AdmissionsScamhttps://www.statesman.com/news/20190326/ut-will-be-included-in-federal-review-of-admissions-practicesÂ â€_",0,0,0,3/26/2019 9:20
Make sure your future horizon is set with clear goals. A company that plans out these goals is able to show investors their growth is on track. This helps employees know where they need to be. #Startups #startup #entrepreneurlife #Entrepreneur #austin #atx #texas #utaustin pic.twitter.com/Wn0rPvJQID â€“ at Capital Factory,0,0,0,3/26/2019 8:39
"Hanging out where some of our very own Knights plan to attend in the future. #hookemhorns By the way, only these two know what theyâ€™re talking about. #uilstate #cxdebate #austintexas #wearehanks #utaustin pic.twitter.com/uEPAwTrsld",1,2,21,3/22/2019 9:32
"Wanted: SUMMER 2019 INTERN! Students, if you're social media savvy and able to multi-task, we welcome you to submit an online application at https://buff.ly/2U114ZgÂ 

#landmarksUT #UTAustin #publicartpic.twitter.com/OR9cBR1Ggy",0,1,0,3/29/2019 12:15
A management system is your meetings with a purpose. You need to set a purpose & once there is a decision on what to do then end the meeting. #startup #startuplife #entreprenurship #Entrepreneur #startupculture #startups #austin #atx #texas #utaustin #SanAntonio #dallaspic.twitter.com/2DutyKtH2G â€“ at Capital Factory,0,0,0,3/26/2019 9:47
We are less than 24HRS away from BSAS 2019!!! #BlackStudentAthleteSummit #bsas #awakening #summit #conference #professionaldevelopment #UTAustin #UT,2,9,18,1/8/2019 9:11
What is your favorite Wes Anderson film? #MondayMotivation #movies #wes #anderson #films #top10 #who #utaustin #austin #utpic.twitter.com/EHlyBmfF53,0,0,2,4/2/2019 10:37
This 10-year challenge got me thinking OH MY GOODNESS MY TEN-YEAR COLLEGE REUNION IS THIS YEAR HOW DID THIS HAPPEN. Graduated with honors and a business degree and here I am still picking a guitar and writing songs for a living. Wouldnâ€™t change a thing. #Hookem #UTAustin pic.twitter.com/CDNyVEgSc0,14,6,195,1/19/2019 18:50
Texas Wins #SugarBowlChamps #LONGHORNS #utaustin pic.twitter.com/jrI3qJPpxM,0,0,10,1/1/2019 21:22
"@TexasLonghorns It's still not a National Championship! #SugarBowlChamps, CELEBRATE! IM W/U! BUT WE STILL GOT WORK TO DO! #UTAustin 2019-20 #HookEm to ""infinity and BEYOND!"" Congrats! ""Alright!"" #WeAreBACK!https://twitter.com/TexasLonghorns/status/1080587577780891649Â â€_",0,0,0,1/2/2019 14:16
"Wonder if Uga is insured? #bevo #utaustin #uga #sugarbowl

https://www.youtube.com/watch?v=TZWhUxP23b0Â â€_
*
 - http://www.iknowjackie.comÂ 
ï¿_ - (512) 252-1107
ï¿_ - @IKNOWJACKIE

#iknowjackie #nationwide #insurance ï¿_#pflugerville #austin...https://www.youtube.com/watch?v=TZWhUxP23b0Â â€_",0,0,1,1/3/2019 6:15
"When you are sitting in a coffee shop coming up with ideas for your business plan, you are making assumptions and which of these ideas can u validate bcuz investors like ideas that work. #Startups #startup #entrepreneurlife #austin #atx #texas #utaustin @gordondaugherty #TXpic.twitter.com/Y7g3XHhUgM â€“ at Capital Factory",0,0,0,3/26/2019 8:23
"ironic that #UTAustin won't reimburse Airbnb travel costs since they removed listings in West Bank settlements. 

Airbnb has BEEN on the #BDS list for renting stolen Palestinian homes. guess TX is participating in the boycott, which is illegal according to its own laws Â¯\_(ãƒ„)_/Â¯pic.twitter.com/8H2KjU3Zw9",0,6,8,3/26/2019 8:09
"An interactive #leadership development workshop right here in #ATX, featuring a large panel of #healthcomm experts ??? Yes, please!  

We still have spots available!

http://bit.ly/2ObcBgUÂ 

#UTHCLI #UT #UTAustin @urccp @hcphtx @DellMed_RCC @HoffmanTilt @TMLT_TMIC @txbhapic.twitter.com/yTFPaLzbCz",0,1,1,3/28/2019 9:04
"No, paying us a living wage would help. Creating enough subsidized housing for grad students would help. Not raising grad student rent rates while wages remain stagnant would help. Employing us during the summer would help. @UTAustin @UnderpaidatUT #utaustin #underpaidatuthttps://twitter.com/sciencemagazine/status/1111734867354624001Â â€_",0,1,14,4/2/2019 13:55
"Good morning, campus! #utaustin #sunrise #uttowerpic.twitter.com/OcR4f73cE8",1,4,35,1/4/2019 5:41
That feeling of being a @UTAustin grad student worker...  @gregfenves #brokephibroke #gradstudents #gradstudenthumor #phdchat #underpaid #therentistoodamnhigh #UTAustin pic.twitter.com/CwPSqwNwpy,0,0,1,3/30/2019 8:16
Weâ€™ll be launching the 2019 Season on August 11th. #finally #drlhttps://www.adweek.com/digital/the-drone-racing-league-moves-its-broadcast-rights-from-espn-to-nbc/Â â€_,0,4,12,4/3/2019 13:04
"UT Tennis Coach Michael Center  leaves Austinâ€™s federal courthouse after being accused of being involved in college admissions bribery scheme. Bond was set at $50,000. His attorney says heâ€™s not guilty. #michaelcenter #UTAustin pic.twitter.com/8kFxcsjHVY",3,11,7,3/12/2019 13:38
"Check out our new website! On this page, We'll be announcing English Council events, writing about them, and posting literature themed articles. Stay tuned to the site for info about our upcoming author panel!
Find it here at https://skylarepstein.wixsite.com/utenglishcouncilÂ â€_
#utaustin #englishlitpic.twitter.com/67rebs7d6Y",0,1,4,3/25/2019 13:33
"Good morning @utaustinparking - just saw your email on #geofencing for #scooter safety on #UTAustin campus. http://dailytexanonline.com/2019/03/24/ut-announces-8-mph-speed-limit-for-dockless-e-scooters-in-campus-areas-with-heavyÂ â€_

That is BRILLIANT. Great work.",0,0,1,3/25/2019 7:11
"Happy New Year! Let your year be full of positive energy, successes, and challenges that you learn from to gain wisdom!

#ACT #SAT #ApplyTexas #CommonApp #WritingEssays #CollegeJourney #UTAustin #PrepareOurStudents #GiveBackToYourCommunity #MakeAnImpact #Equity #Access #Successpic.twitter.com/bEdINgkqxo",0,1,5,1/3/2019 15:31
Truth right there. Thank goodness it's at a prominent space at UT.  #austintx #atx #ut #utaustin @ The University of Texas at Austin https://www.instagram.com/victorsavelle/p/Bvnl3J0F68c/?utm_source=ig_twitter_share&igshid=4vsb0z2d7i2dÂ â€_,0,0,0,3/29/2019 21:13
"Calling all @UTAustin Faculty and Staff! Registration is now open for the 28th Annual Poker Walk, presented by @WinStarWorld. 

 Wednesday, May 15 | 11:30am 
 Get your office team together and register! 
 Details at http://utrecsports.org/pokerwalkÂ    

#UTPokerWalk #UTAustin pic.twitter.com/sC6SLYesNu",0,0,1,4/1/2019 7:15
The #Big12 Virtual Career Fair is happening on Wednesday! Meet with employers from across the country to discuss internship and full-time opportunities. Open to all #UTAustin students! https://bit.ly/2TuzBdyÂ pic.twitter.com/pjNSNHeSeG,0,3,1,3/25/2019 12:34
OMG DID TEXAS REALLY WIN?!?#UTAustin #HOOKEM #SugarBowlChampions,0,0,1,1/1/2019 21:22
"It's gonna be the BIGGEST WIN IN #UTAustin HISTORY! #Hookem #TexasFootball #LonghornsVSBulldogs
#UTvsUG",1,0,1,1/1/2019 0:02
"With differing views on campus carry, 'An Imperfect Union' brings #UTAustin students together http://bit.ly/2Atqbbj",0,2,2,1/3/2019 12:00
"Went to #UTAustin, worked my butt off but know for a fact lobbyist, children of members of the #Texas Legislature and anyone else with money and power get their kids in, what a shame, all while #minorities are told they just need to try harder, study harder, work harder, a joke! pic.twitter.com/vxftKfHBpq",1,43,357,3/12/2019 15:54
"#TBT UT mathematician Karen Uhlenbeck being interviewed in her #UTAustin office in 1995 for a book on #WomenInSTEM.

And #ICYMI, Uhlenbeck was awarded the 2019 #AbelPrize on Tuesday! Learn more at http://txsci.net/2FjjjiDÂ 
#WomensHistoryMonthpic.twitter.com/URc2oPc9j2",0,11,43,3/21/2019 14:24
"Landmarks' collection sculpture ""Vermillion"" by Deborah Butterfield will be included in the highly anticipated children's book ""Horse Museum"" by Dr. Seuss! Scheduled for release September 3. 

Visit our website for more info (link in bio).

#landmarksUT #UTAustin #publicartpic.twitter.com/XK1FsTmrOb",0,0,5,4/2/2019 7:15
Hook'em !  #Longhorns #UTAustin,0,0,2,1/1/2019 18:06
"Astronomers at The University of Texas at Austin, in partnership with Google, have used artificial intelligence (AI) to uncover two more hidden planets in the Kepler space telescope archive. Read more here: https://bit.ly/2JHTUnZÂ  #UTAustin #ArtificialIntelligence #HookEmpic.twitter.com/kRY2DfeWlr",0,0,0,3/26/2019 13:09
"As a part of the @thedailytexan crew, I wanted to reach out and ask to please help us in our Support Student Voices fundraiser! We provide you entertaining media daily, so please consider donating! http://www.supportstudentvoices.orgÂ  
#SupportStudentVoices #utaustin #journalism #media",0,0,1,4/2/2019 16:48
"A little morning congratulations to the @TexasSports on winning the Sugar Bowl! Hook 'Em Horns and Happy New Year everyone!
--- --- --- ---
#hookem #hookemhorns #utaustin #atx #footballâ€_ https://www.instagram.com/p/BsIo-zclEUo/?utm_source=ig_twitter_share&igshid=154skms14jupbÂ â€_",0,0,0,1/2/2019 6:09
Many #Entrepreneurs think their product is their business but most do NOT know how to build a company. Investors are interested in a great business not product. Companies have many layers. #austin #Startups #entrepreneurlife #atx #texas #utaustin #txpic.twitter.com/kp4cQbqI1F â€“ at Capital Factory,0,0,1,3/26/2019 8:30
