•ÈÀweb-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554328934-3582,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@thakurprakashk,Prakash Kumar,@smritiirani Has #yale University degree.,0,0,0,1.55E+12,4/1/2019 21:19,/thakurprakashk/status/1112932657783099392
1554328934-3578,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@PurePapua,#WestPapua,"Yale University. 
There is a strong indication that the Indonesian government has committed genocide against the West Papuans.‰Û Several other scholars have reached a similar conclusion. #genocide #yale #WestPapuapic.twitter.com/cfMcaCPxIW",0,5,1,1.55E+12,4/1/2019 6:52,/PurePapua/status/1112714431010664448
1554328934-3574,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@debreese,Dr. Debbie Reese,"Thirteen professors withdraw from Ethnicity, Race, & Migration program https://yaledailynews.com/blog/2019/03/29/thirteen-professors-withdraw-from-erm-program/åÊ‰Û_ #Yale pic.twitter.com/UjlJCirKJC",1,7,10,1.55E+12,3/30/2019 2:45,/debreese/status/1111927354119606273
1554328934-3666,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@RuxShawn,ShawnRux,#collegeawarenessday What school are you reppin‰Ûª? #DSU #YALE #educationsaveslives @D29Shines @bevmitche @NYCSchools @DOEChancellorpic.twitter.com/hgTyyWdZJ4,1,6,55,1.55E+12,1/11/2019 8:44,/RuxShawn/status/1083766566737596416
1554328934-3593,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Oreo,Oreo Cookie,The most epic cookies of all time are here. Click to watch the full video. #GameOfCookies #ForTheThrone,28,153,664,1.55E+12,4/2/2019 7:27,/Oreo/status/1113085571767943170
1554328934-3569,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@ZareenaGrewal,Dr. Zareena Grewal,Today I was 1 of 13 faculty who withdrew from #Yale's Ethnicity Race & Migration Program Painful but University's record of inaction & broken promises forced our hand I came to Yale thru ER&M's postdoc Wouldn't be here w/o ERM I will fight for it to exist https://bit.ly/2K4lPPt,14,358,1.1K,1.55E+12,3/29/2019 17:43,/ZareenaGrewal/status/1111791021501878273
1554328934-3673,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Feliciamabuza,Felicia Mabuza-Suttle,"Why I watch @MSNBC and @CNN. Enjoy listening to Rachel @maddow #Stanford and #Oxford, @AriMelber #Cornell, @andersoncooper #Yale, @ChrisCuomo #Yale, @JoyReid #Harvard, @ChrisHayes #Brown, @Lawrence O'Donnell, #Harvard.pic.twitter.com/PhNVbeu0DE",1,0,7,1.55E+12,1/2/2019 20:58,/Feliciamabuza/status/1080689736501678080
1554328934-3668,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@SidneyPowell1,Sidney Powell åÊ_Ùà¼_ÙàüåÊ‰_åÊ‰_åÊ‰_,"He might want to look at more recent and relevant statutes, but let's let him do his own research. 
#Yale
#Dimms
#Dobbshttps://twitter.com/BoSnerdley/status/1082058688494481408åÊ‰Û_",2,30,69,1.55E+12,1/6/2019 21:41,/SidneyPowell1/status/1082150138452295680
1554328934-3676,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@BritaYaleAlumni,Brita Belli - Yale Alumni Writer,#Yale experts weigh in on the connection between #wildfires and #climatechange in a @YaleBlueGreen webinar tomorrow. #yalealumni @yalealumni https://docs.google.com/forms/d/e/1FAIpQLSfuuoERvN_k5j5h8L3vVgo9QCRoy1cJ76EIJmOcgsg1nBueJQ/viewformåÊ‰Û_,0,0,3,1.55E+12,1/2/2019 12:52,/BritaYaleAlumni/status/1080567429007400961
1554328934-3629,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@ChineseAZ,ChineseAZ,"First lawsuits filed by students at elite schools in wake of #CollegeAdmissionsScandal #Yale #Stanford #USC #UCLA #UCSD #GeorgeTown #UniversityofTexas https://www.nbcnews.com/news/us-news/college-cheating-scandal-first-lawsuits-filed-students-elite-schools-n983211åÊ‰Û_ via @nbcnews ‰ÛÒ at Hong Kong Express (COFCO, Inside Market)",1,14,14,1.55E+12,3/14/2019 10:48,/ChineseAZ/status/1106250793462566912
1554328934-3675,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@mojourn,Matt O'Rourke,"It‰Ûªs a little thing, but it‰Ûªs hard to believe I‰Ûªve been @yalesom for five years now. It‰Ûªs flown by! Thanks all to all who make it feel gratifying. #nhv #yale @ Yale School of Management https://www.instagram.com/p/BsJXgZ0gJZi/?utm_source=ig_twitter_share&igshid=flli367x2m0påÊ‰Û_",0,0,2,1.55E+12,1/2/2019 12:56,/mojourn/status/1080568489981685767
1554328934-3576,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@StephanieBohna1,Stephanie Bohnak,All my hard work is going to pay off. I'm going to get into #yale for my grad program if it's the last thing I do.,1,0,10,1.55E+12,4/2/2019 11:32,/StephanieBohna1/status/1113147155336790016
1554328934-3634,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@aegpresents,AEG Presents,"When We All Fall Asleep, Where Do We Go? @billieeilish's debut album is out now http://smarturl.it/BILLIEALBUMåÊpic.twitter.com/Qbi5K4Gesp",3,29,212,1.55E+12,3/29/2019 9:39,/aegpresents/status/1111669274823655424
1554328934-3684,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@ClintKalan,Clint Kalan,Dang. Mandy Medoro left at 4. Just a few minutes late to post a picture from #yale central,0,0,4,1.55E+12,1/1/2019 19:19,/ClintKalan/status/1080302635213705216
1554328934-3597,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Sheadixon,Shea Dixon,"New: #LSU vs. #Yale is the 14th NCAA Tournament game for the Tigers since 2000. Let's stroll down memory lane.

A nine-scholarship team making it to the Sweet 16. Darrel Mitchell's game-winner. Sending JJ Redick + Gordon Hayward home. A Final 4 and more. https://247sports.com/college/lsu/LongFormArticle/-LSU-Tigers-basketball-march-madness-ncaa-tournament-record-games-since-2000-final-four-130242447/åÊ‰Û_pic.twitter.com/fDBo80YpuY",0,11,43,1.55E+12,3/19/2019 6:09,/Sheadixon/status/1107992412683681793
1554328934-3607,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@NYJusticeSeeker,NY J‡«Ïs‡«Ýƒ»‡«ã‡«à S‡«à‡«à‡«Ü‡«àæÛ,#Yale grad #OmarZaki fined $25k for running fake #hedgefund that scammed #investor https://mol.im/a/6875625åÊ via @MailOnline,0,0,0,1.55E+12,4/2/2019 9:28,/NYJusticeSeeker/status/1113116123367706624
1554328934-3626,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@FastModel,FastModel Sportså¨ åÊ_ÙÛåÊ_ÙÕÈ,#IvyLeague Championship on now! #Yale https://twitter.com/FastModel/status/1102008197760667649åÊ‰Û_,0,4,22,1.55E+12,3/17/2019 10:23,/FastModel/status/1107331528068087808
1554328934-3665,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@BassLibrary,Bass Library,"Today would have been Dr. Martin Luther King Jr.‰Ûªs 90th birthday. For January we‰Ûªre celebrating Dr. King in Bass Library. Come contribute to the board and check out the book display in Bass Library.

#basslibrary #yalelibrary #yale #mlkjr #librarylife #socialjustice #civilrightspic.twitter.com/hdJJOrTvRj",0,10,21,1.55E+12,1/15/2019 7:55,/BassLibrary/status/1085203948653416448
1554328934-3630,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Scott_E_Page,Scott Page,"#Yale, #USC, #Stanford allowed explicit purchase of admission. The wealthy also implicitly purchase admission through greater opportunities to excel.  High SES students may be 20 times more likely to exhibit the exceptional talent  #UMICH #CSCS #SFI
https://documentcloud.adobe.com/link/track?uri=urn%3Aaaid%3Ascds%3AUS%3Abbfd8999-8bc2-4eeb-901d-e55125b939eaåÊ‰Û_",4,10,24,1.55E+12,3/13/2019 4:06,/Scott_E_Page/status/1105787146013720576
1554328934-3681,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@yaleclubofsd,Yale Club San Diego,Love our global Yale community! #YaleAlumni #Yale #community #inspirehttps://twitter.com/YaleAlumni/status/1080198688348299265åÊ‰Û_,0,0,2,1.55E+12,1/1/2019 22:02,/yaleclubofsd/status/1080343650737901570
1554328934-3663,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@newhavenindy,New Haven Indy,#Yale-NewHavenHospital Waives Fees For Furloughed Federal Workers  |  New Haven Independent http://bit.ly/2S9JL6K,0,7,9,1.55E+12,1/25/2019 7:50,/newhavenindy/status/1088826452265652225
1554328934-3620,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@BillyEmbody,Billy Embody,"New @Geaux247 Podcast: @Sheadixon and I recap the first two weeks of spring football, safety Jacoby Stevens on the pod and look at #LSU vs. #Yale in the #NCAATournament. #MarchMadness 

iTunes: https://itunes.apple.com/us/podcast/geaux247-podcast/id1166987637?mt=2åÊ‰Û_

Spotify: https://open.spotify.com/show/6N8VgFE0vP9CFsMyzCRLXf?si=6RTvZgMIRGubKulvSulSNwåÊ‰Û_https://247sports.com/college/lsu/Article/LSU-football-basketball-baseball-recruiting-podcast-Geaux247-130315185/åÊ‰Û_",0,6,12,1.55E+12,3/20/2019 13:59,/BillyEmbody/status/1108473056513667072
1554328934-3612,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@MTMVSports,MTMV Podcast Network,"What has been the best game of the day?
#Marchmadness #MarchMadnessbracket #Minnesota #Louisville #newmexicostate #Auburn #fsu #vermont #LSUBasketball #yale",0,15,8,1.55E+12,3/21/2019 13:39,/MTMVSports/status/1108830482177888257
1554328934-3575,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@regularalex,alexander zhang,yesterday two thousand high schoolers found out they got into yale. many of them I‰Ûªm sure were attracted to #yale for its ethnic studies program. but what they didn‰Ûªt learn in admissions pamphlets is how the university hasn‰Ûªt provided ER&M the admin powers it needs to thrive,1,9,37,1.55E+12,3/29/2019 20:57,/regularalex/status/1111839842592129025
1554328934-3683,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Captaintwoz,Chaz Okada,"Just a little improvisation to start the year...

#guitarsolo #rock #telecaster #fender #improvise #solo #knowyourtone #teletuesday #yale pic.twitter.com/7Ow0DLqpSF",0,2,2,1.55E+12,1/1/2019 21:16,/Captaintwoz/status/1080332035607138304
1554328934-3618,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Rivals,Rivals,"#Yale took Miye Oni without even seeing him play in person.

Now he is one of the top players in the Ivy League and one of the top recruiting finds of the tournament: https://rvls.co/BossiBest0320åÊpic.twitter.com/UQlHHUiMLI",0,3,8,1.55E+12,3/20/2019 18:00,/Rivals/status/1108533683596582912
1554328934-3631,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@AngryProfThug,What's Pissing Me Off Today?,The Angry Professor says: Stay in School! Study hard! And your dreams will be...crushed by the offspring of an actress in a Netflix series? Goddammit! #scandal #felicityhuffman #ricksinger #loriloughlin #yale #usc #auntbecky #bringouttheguillotine #wpmot #whatspissingmeofftoday pic.twitter.com/5lAarTeUGF,6,23,82,1.55E+12,3/12/2019 17:07,/AngryProfThug/status/1105621396028354561
1554328934-3637,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@StopYunuen,"yunuen,",i completely forgot to submit photos of me doing sports #havard #yale #usc #stanfordpic.twitter.com/rBB8Er5PpK,0,3,53,1.55E+12,3/12/2019 15:32,/StopYunuen/status/1105597366554501121
1554328934-3591,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@MorysClub,Mory's Association,Make your Commencement reservations today! Our tables are filling up fast! Contact Jeff Ortiz to schedule your reservation today at 203-562-3157.  #morys #morysclub #yale @MorysClub @Yalepic.twitter.com/x8WvxVVti3,0,0,0,1.55E+12,4/2/2019 12:34,/MorysClub/status/1113162744105242627
1554328934-3682,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@yaleclubofsd,Yale Club San Diego,"Thank you SO much to all of our fabulous San Diego Yale Alumni and Yale family who make our club a strong, caring community. Here are a few fun 2018 memories!
#HappyNewYear #YaleAlumni #ThankYou #Gratitude @Yale #Yale #community @yalealumnimag @YaleAlumni #SanDiegopic.twitter.com/oZffyfoCGb",0,2,4,1.55E+12,1/1/2019 22:02,/yaleclubofsd/status/1080343493468250113
1554328934-3577,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@skatewithash,skatewithash,#WorldFigure Raf Artunian smiling and hugging Nathan Chen like his favourite asian #Yale-student son is the sliver of emotion I never knew I needed.   #nathanchenpic.twitter.com/yCoJ1H8yfW,2,64,511,1.55E+12,3/23/2019 5:34,/skatewithash/status/1109433310218870784
1554328934-3590,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@TinaKimCNN,Tina Kim,"#Yale rescinds admission of a student whose family paid $1.2 million to get her in

https://www.cnn.com/2019/03/25/us/yale-rescinds-student-admissions-scandal/index.htmlåÊ‰Û_",0,1,0,1.55E+12,3/26/2019 2:01,/TinaKimCNN/status/1110466844681531392
1554328934-3661,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@kellyjanekeane,Kelly,"My new favorite phrase that boosts student effort by 40% - ‰ÛÏI‰Ûªm giving you these comments because I have very high expectations and I know that you can reach them.‰Û Thanks @DanielCoyle and psychologists from #Stanford, #Yale, and #Columbia for this magic phrase.",1,6,26,1.55E+12,1/28/2019 17:33,/kellyjanekeane/status/1090060447884210178
1554328934-3645,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Yale,Yale University,The largest snowfall this winter began last night with a glittery dusting #Yale pic.twitter.com/jDnsxnkCge,7,119,646,1.55E+12,3/4/2019 13:00,/Yale/status/1102675233893466112
1554328934-3680,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@CRHFootball,Choate Football,The relationships you build @gochoate are real and lasting! The brotherhood is special. #choosechoate #brothers #wolfpack #choatefootball #yale #dartmouth #harvard #brown #trinity https://www.instagram.com/p/BsIf0KHFoQ9/?utm_source=ig_twitter_share&igshid=1xlpnz09xen3yåÊ‰Û_,0,0,18,1.55E+12,1/2/2019 4:49,/CRHFootball/status/1080446006683226114
1554328934-3598,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@losha_ilyukh,Aleksey Ilyukh,"I hope to one day be guided by Lux et Veritas, sometimes I feel like I already am by the greatest Professor Chad McCracken #Yale My only hope that hard work will allow me to achieve this dream",0,0,0,1.55E+12,3/28/2019 21:10,/losha_ilyukh/status/1111480686949601280
1554328934-3587,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@jakegould10,Jake Gould,"Upset call of the day: 14-seed #Yale beats 3-seed #LSU.

Why?

LSU is without head coach Will Wade.
Yale shoots 49% from the field, 37% from three.
And because Miye Oni is league bound & I've been saying it since the Mason Park rec-league days.

Go get it my guy @PrinceOni13!!!",2,1,15,1.55E+12,3/21/2019 8:48,/jakegould10/status/1108757239307726848
1554328934-3689,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@oddballtoday,oddballtoday,"Comic #269 - Loud and Clear

http://oddball.today/comics/comic-269åÊ‰Û_
.
.
.
.
.
.
.
#comic #comics #webcomic #webcomics #cartoon #art #humor #funny #lol #lols #lmao #yale #yell #yelling #oops #mixup #mixedup #party #parties #solocup #redcuppic.twitter.com/Y4uNzp9nwS",0,3,8,1.55E+12,12/31/2018 19:02,/oddballtoday/status/1079935827155795969
1554328934-3584,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@godimsayinwOw,Greggorio,"*Thoughts of the Hour* 

Dropping out of School+Becoming a Small Town Beach Cop=A happy ending? 

#Harvard #Yale #Cornell #Elites #Revolutionary #CardiB #Offset #Quavo #Migos #Future #PostMalone #BeerBongsAndBentleys",0,0,1,1.55E+12,3/30/2019 11:12,/godimsayinwOw/status/1112055125953179654
1554328934-3658,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@YaleRITM,YaleRITM,The #Yale Group for the Study of Native America (YGSNA) @YaleRITM invites applications for the 2019-2020 Henry Roe Cloud Dissertation Writing Fellowship in American Indian and Indigenous Studies!! https://ygsna.sites.yale.edu/henry-roe-cloud-fellowship/henry-roe-cloud-dissertation-fellowship-announced-201920åÊ‰Û_,0,33,24,1.55E+12,2/5/2019 16:53,/YaleRITM/status/1092949378900393985
1554328934-3674,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@TampaEFL,EFL,"Busted  #Yale University! Sure you did. Lexi : Mommy, is that you?  #Instagram Live.pic.twitter.com/riXg2q1hyD",0,0,1,1.55E+12,1/2/2019 20:17,/TampaEFL/status/1080679578560065536
1554328934-3657,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Jody_Grooms,James Grooms,"Yale it is! Great day in Watertown. #ELI19 #LifeChangingU Thank you Taft, Coach Whitley, and Yale Football! We are excited and can't wait! #Yale @nolangrooms @SharonGrooms5 @TaftFootballCT @ArtAsselta @TonyRenoYale @coach_cahill @Yale_Footballpic.twitter.com/pqUI6LgeaA",4,11,65,1.55E+12,2/6/2019 11:53,/Jody_Grooms/status/1093236348641861633
1554328934-3688,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@yaleclubofsd,Yale Club San Diego,"Wishing our Yale friends and family a spectacular 2019! May you dream big and reach the stars!
#YaleAlumni #Happy_New_Year_2019 #HappyNewYear2019 #Yale #dreambig @Yale @YaleAlumnipic.twitter.com/8OQomFhenU",0,0,4,1.55E+12,12/31/2018 20:57,/yaleclubofsd/status/1079964893472649216
1554328934-3648,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@ndnsports,NDNSPORTS.COM,"Yale recruits Rosebud Sioux tribal member to play football.
#NativePreps #Sioux #Yale #IvyLeague

https://rapidcityjournal.com/news/local/yale-recruits-rosebud-sioux-tribal-member-to-play-football/article_be52d8cf-a485-5fd0-b3ee-f19ccbdd57eb.html?fbclid=IwAR2g5_uR_ccKteWVUYKWLi1wDmS6sgGN3YzYzzDX2rxgYOYKveL3Oq2odFAåÊ‰Û_pic.twitter.com/SOLpSROMYY",0,7,43,1.55E+12,2/19/2019 10:36,/ndnsports/status/1097927871119675400
1554328934-3654,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@DrinkBODYARMOR,BODYARMOR,".@MikeTrout & Andrew Luck wouldn‰Ûªt do something outdated like a Disco Battle‰Û_ so why would they drink an outdated sports drink? Thanks @Gatorade, we‰Ûªll take it from here. #ObsessedWithBetterpic.twitter.com/BG2vHDLEdV",188,1.4K,4.9K,1.55E+12,3/27/2019 6:12,/DrinkBODYARMOR/status/1110892350514098176
1554328934-3601,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@rich45240,Richard Carpenter,"@Yale #Yale Everything can be explained by ""it could have..."" I think people are going to view this as a ""suppressing the truth"" paper...period #Oumuamua #Interstellar
Mysterious 'Oumuamua object may have simple explanation after all https://www.nbcnews.com/mach/science/mysterious-oumuamua-interstellar-object-may-have-simple-explanation-after-all-ncna985466åÊ‰Û_ via @NBCNews",0,0,0,1.55E+12,4/1/2019 15:09,/rich45240/status/1112839398641594369
